Individual,Morph,Start  date,Event ,Cell,Date,Day,Sex,Clutch,
DA 1,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,Madingley,
DA 1,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,F,Madingley,
DA 1,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,F,Madingley,
DA 1,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,F,Madingley,
DA 1,Benthic,07/07/2022,first aggregates,Iridophore,12/07/2022,5,F,Madingley,
DA 1,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,12/07/2022,5,F,Madingley,
DA 1,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,,,F,Madingley,
DA 1,Benthic,07/07/2022,associations at second,Iridophore,,,F,Madingley,
DA 1,Benthic,07/07/2022,second aggregates ,Iridophore,,,F,Madingley,
DA 1,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,,,F,Madingley,
DA 1,Benthic,07/07/2022,associations at edge,Iridophore,,,F,Madingley,
DA 1,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,Madingley,
DA 1,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,Madingley,
DA 1,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,F,Madingley,
DA 1,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,Madingley,
DA 1,Benthic,07/07/2022,first spot ring clear,None,,,F,Madingley,
DA 1,Benthic,07/07/2022,second spot ring clear,None,,,F,Madingley,
DA 1,Benthic,07/07/2022,edge spot ring clear,None,,,F,Madingley,
DA 2,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,omb,
DA 2,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,omb,
DA 2,Benthic,07/07/2022,iridophores 4-5,Iridophore,17/07/2022,10,M,omb,calling the amin one the first not the spine one (0)
DA 2,Benthic,07/07/2022,associations 3-5,Iridophore,01/08/2022,25,M,omb,
DA 2,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,M,omb,
DA 2,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,11/08/2022,35,M,omb,
DA 2,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,16/09/2022,71,M,omb,
DA 2,Benthic,07/07/2022,associations at second,Iridophore,28/09/2022,83,M,omb,
DA_2,Benthic,07/07/2022,second aggregates ,Iridophore,07/10/2022,92,M,omb,
DA 2,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,16/09/2022,71,M,omb,
DA 2,Benthic,07/07/2022,associations at edge,Iridophore,28/09/2022,83,M,omb,
DA 2,Benthic,07/07/2022,edge aggregates,Iridophore,17/10/2022,102,M,omb,
DA 2,Benthic,07/07/2022,first aggregation resolves,Iridophore,02/10/2022,87,M,omb,
DA 2,Benthic,07/07/2022,second aggregation resolves,Iridophore,17/10/2022,102,M,omb,
DA 2,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,omb,
DA 2,Benthic,07/07/2022,first spot ring clear,None,25/11/2022,141,M,omb,
DA 2,Benthic,07/07/2022,second spot ring clear,None,,,M,omb,
DA 2,Benthic,07/07/2022,edge spot ring clear,None,17/10/2022,102,M,omb,
DA 3,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,
DA 3,Benthic,07/07/2022,iridophores in fin,Iridophore,12/07/2022,5,F,omb,
DA 3,Benthic,07/07/2022,iridophores 4-5,Iridophore,17/07/2022,10,F,omb,
DA 3,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,F,omb,
DA 3,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,F,omb,
DA 3,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,17/07/2022,10,F,omb,
DA 3,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,17/07/2022,10,F,omb,
DA 3,Benthic,07/07/2022,associations at second,Iridophore,01/08/2022,25,F,omb,
DA 3,Benthic,07/07/2022,second aggregates ,Iridophore,06/08/2022,30,F,omb,
DA 3,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,18/11/2022,134,F,omb,
DA 3,Benthic,07/07/2022,associations at edge,Iridophore,18/11/2022,134,F,omb,
DA 3,Benthic,07/07/2022,edge aggregates,Iridophore,25/11/2022,141,F,omb,
DA 3,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,omb,
DA 3,Benthic,07/07/2022,second aggregation resolves,Iridophore,07/11/2022,123,F,omb,
DA 3,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,
DA 3,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,
DA 3,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,
DA 3,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,
DA 4,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,
DA 4,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,F,omb,
DA 4,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,F,omb,
DA 4,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,F,omb,
DA 4,Benthic,07/07/2022,first aggregates,Iridophore,17/07/2022,10,F,omb,
DA 4,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,26/08/2022,50,F,omb,
DA 4,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,26/08/2022,50,F,omb,
DA 4,Benthic,07/07/2022,associations at second,Iridophore,26/08/2022,50,F,omb,
DA 4,Benthic,07/07/2022,second aggregates ,Iridophore,28/09/2022,83,F,omb,
DA 4,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,18/11/2022,134,F,omb,
DA 4,Benthic,07/07/2022,associations at edge,Iridophore,18/11/2022,134,F,omb,
DA 4,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,omb,
DA 4,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,omb,
DA 4,Benthic,07/07/2022,second aggregation resolves,Iridophore,18/11/2022,134,F,omb,
DA 4,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,
DA 4,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,
DA 4,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,
DA 4,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,
DA 5,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,
DA 5,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,
DA 5,Benthic,07/07/2022,iridophores 4-5,Iridophore,12/07/2022,5,M,Madingley,
DA 5,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,M,Madingley,
DA 5,Benthic,07/07/2022,first aggregates,Iridophore,17/07/2022,10,M,Madingley,
DA 5,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,12/07/2022,5,M,Madingley,
DA 5,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,12/07/2022,5,M,Madingley,
DA 5,Benthic,07/07/2022,associations at second,Iridophore,17/07/2022,10,M,Madingley,
DA 5,Benthic,07/07/2022,second aggregates ,Iridophore,22/07/2022,15,M,Madingley,
DA 5,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,16/09/2022,71,M,Madingley,
DA 5,Benthic,07/07/2022,associations at edge,Iridophore,28/09/2022,83,M,Madingley,
DA 5,Benthic,07/07/2022,edge aggregates,Iridophore,17/10/2022,102,M,Madingley,
DA 5,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,M,Madingley,
DA 5,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,M,Madingley,
DA 5,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,Madingley,
DA 5,Benthic,07/07/2022,first spot ring clear,None,,,M,Madingley,
DA 5,Benthic,07/07/2022,second spot ring clear,None,31/08/2022,55,M,Madingley,
DA 5,Benthic,07/07/2022,edge spot ring clear,None,,,M,Madingley,
DA 6,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,
DA 6,Benthic,07/07/2022,iridophores in fin,Iridophore,12/07/2022,5,F,omb,
DA 6,Benthic,07/07/2022,iridophores 4-5,Iridophore,12/07/2022,5,F,omb,
DA 6,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,F,omb,
DA 6,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,F,omb,
DA 6,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,22/07/2022,15,F,omb,
DA 6,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,22/07/2022,15,F,omb,
DA 6,Benthic,07/07/2022,associations at second,Iridophore,01/08/2022,25,F,omb,
DA 6,Benthic,07/07/2022,second aggregates ,Iridophore,01/08/2022,25,F,omb,
DA 6,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,,,F,omb,
DA 6,Benthic,07/07/2022,associations at edge,Iridophore,,,F,omb,
DA 6,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,omb,
DA 6,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,omb,
DA 6,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,F,omb,
DA 6,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,
DA 6,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,
DA 6,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,
DA 6,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,
DA 7,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,
DA 7,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,
DA 7,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,M,Madingley,
DA 7,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,M,Madingley,
DA 7,Benthic,07/07/2022,first aggregates,Iridophore,12/07/2022,5,M,Madingley,
DA 7,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,01/08/2022,25,M,Madingley,
DA 7,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,01/08/2022,25,M,Madingley,
DA 7,Benthic,07/07/2022,associations at second,Iridophore,11/08/2022,35,M,Madingley,
DA 7,Benthic,07/07/2022,second aggregates ,Iridophore,21/08/2022,45,M,Madingley,
DA 7,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,22/07/2022,15,M,Madingley,
DA 7,Benthic,07/07/2022,associations at edge,Iridophore,11/08/2022,35,M,Madingley,
DA 7,Benthic,07/07/2022,edge aggregates,Iridophore,16/08/2022,40,M,Madingley,
DA 7,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,M,Madingley,
DA 7,Benthic,07/07/2022,second aggregation resolves,Iridophore,16/09/2022,71,M,Madingley,
DA 7,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,Madingley,
DA 7,Benthic,07/07/2022,first spot ring clear,None,02/12/2022,148,M,Madingley,
DA 7,Benthic,07/07/2022,second spot ring clear,None,,,M,Madingley,
DA 7,Benthic,07/07/2022,edge spot ring clear,None,25/11/2022,141,M,Madingley,
DA 8,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,
DA 8,Benthic,07/07/2022,iridophores in fin,Iridophore,17/07/2022,10,F,omb,
DA 8,Benthic,07/07/2022,iridophores 4-5,Iridophore,17/07/2022,10,F,omb,
DA 8,Benthic,07/07/2022,associations 3-5,Iridophore,22/07/2022,15,F,omb,
DA 8,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,F,omb,
DA 8,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,11/08/2022,35,F,omb,
DA 8,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,11/08/2022,35,F,omb,
DA 8,Benthic,07/07/2022,associations at second,Iridophore,21/08/2022,45,F,omb,
DA 8,Benthic,07/07/2022,second aggregates ,Iridophore,26/08/2022,50,F,omb,
DA 8,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,,,F,omb,
DA 8,Benthic,07/07/2022,associations at edge,Iridophore,,,F,omb,
DA 8,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,omb,
DA 8,Benthic,07/07/2022,first aggregation resolves,Iridophore,02/12/2022,148,F,omb,
DA 8,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,F,omb,
DA 8,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,
DA 8,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,
DA 8,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,
DA 8,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,
DA 9,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,
DA 9,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,
DA 9,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,M,Madingley,
DA 9,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,M,Madingley,
DA 9,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,M,Madingley,
DA 9,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,12/07/2022,5,M,Madingley,
DA 9,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,06/08/2022,30,M,Madingley,
DA 9,Benthic,07/07/2022,associations at second,Iridophore,26/08/2022,50,M,Madingley,
DA 9,Benthic,07/07/2022,second aggregates ,Iridophore,02/10/2022,87,M,Madingley,
DA 9,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,22/07/2022,15,M,Madingley,
DA 9,Benthic,07/07/2022,associations at edge,Iridophore,06/08/2022,30,M,Madingley,
DA 9,Benthic,07/07/2022,edge aggregates,Iridophore,16/09/2022,71,M,Madingley,
DA 9,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,M,Madingley,
DA 9,Benthic,07/07/2022,second aggregation resolves,Iridophore,25/11/2022,141,M,Madingley,
DA 9,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,-44749,M,Madingley,
DA 9,Benthic,07/07/2022,first spot ring clear,None,02/12/2022,148,M,Madingley,
DA 9,Benthic,07/07/2022,second spot ring clear,None,,,M,Madingley,
DA 9,Benthic,07/07/2022,edge spot ring clear,None,,,M,Madingley,
DA 10,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,
DA 10,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,
DA 10,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,M,Madingley,
DA 10,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,M,Madingley,
DA 10,Benthic,07/07/2022,first aggregates,Iridophore,17/07/2022,10,M,Madingley,
DA 10,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,22/07/2022,15,M,Madingley,
DA 10,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,01/08/2022,25,M,Madingley,
DA 10,Benthic,07/07/2022,associations at second,Iridophore,26/08/2022,50,M,Madingley,
DA 10,Benthic,07/07/2022,second aggregates ,Iridophore,16/09/2022,71,M,Madingley,
DA 10,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,28/09/2022,83,M,Madingley,
DA 10,Benthic,07/07/2022,associations at edge,Iridophore,02/10/2022,87,M,Madingley,
DA 10,Benthic,07/07/2022,edge aggregates,Iridophore,07/10/2022,92,M,Madingley,
DA 10,Benthic,07/07/2022,first aggregation resolves,Iridophore,07/10/2022,92,M,Madingley,
DA 10,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,M,Madingley,
DA 10,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,Madingley,
DA 10,Benthic,07/07/2022,first spot ring clear,None,,,M,Madingley,
DA 10,Benthic,07/07/2022,second spot ring clear,None,,,M,Madingley,
DA 10,Benthic,07/07/2022,edge spot ring clear,None,,,M,Madingley,
