Individual,Morph,Start  date,Event ,Cell,Date,Day,Sex,Clutch,Cohort,Combi_cohort,
EB 1,Benthic,01/03/2022,xanthophores in fin,Xanthophore,04/03/2022,3,,,f emb_deep,embryo,
EB 2,Benthic,01/03/2022,xanthophores in fin,Xanthophore,05/03/2022,4,,,f emb_deep,embryo,
EB 3,Benthic,01/03/2022,xanthophores in fin,Xanthophore,03/03/2022,2,,,f emb_deep,embryo,
EB 4,Benthic,01/03/2022,xanthophores in fin,Xanthophore,03/03/2022,2,,,f emb_deep,embryo,
EB 5,Benthic,01/03/2022,xanthophores in fin,Xanthophore,03/03/2022,2,,,f emb_deep,embryo,
EB 6,Benthic,01/03/2022,xanthophores in fin,Xanthophore,04/03/2022,3,,,f emb_deep,embryo,
EB 7,Benthic,01/03/2022,xanthophores in fin,Xanthophore,04/03/2022,3,,,f emb_deep,embryo,
EB 8,Benthic,01/03/2022,xanthophores in fin,Xanthophore,05/03/2022,4,,,f emb_deep,embryo,
EL 1,Littoral,30/06/2021,xanthophores in fin,Xanthophore,06/07/2021,6,,,e emb_shallow,embryo,
EL 2,Littoral,30/06/2021,xanthophores in fin,Xanthophore,04/07/2021,4,,,e emb_shallow,embryo,
EL 3,Littoral,30/06/2021,xanthophores in fin,Xanthophore,09/07/2021,9,,,e emb_shallow,embryo,
EL 4,Littoral,30/06/2021,xanthophores in fin,Xanthophore,03/07/2021,3,,,e emb_shallow,embryo,
EL 5,Littoral,30/06/2021,xanthophores in fin,Xanthophore,04/07/2021,4,,,e emb_shallow,embryo,
EL 6,Littoral,30/06/2021,xanthophores in fin,Xanthophore,05/07/2021,5,,,e emb_shallow,embryo,
EL 7,Littoral,30/06/2021,xanthophores in fin,Xanthophore,08/07/2021,8,,,e emb_shallow,embryo,
EL 8,Littoral,30/06/2021,xanthophores in fin,Xanthophore,08/07/2021,8,,,e emb_shallow,embryo,
EL 9,Littoral,30/06/2021,xanthophores in fin,Xanthophore,04/07/2021,4,,,e emb_shallow,embryo,
EB 1,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 2,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 3,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 4,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 5,Benthic,01/03/2022,iridophores in fin,Iridophores,10/03/2022,9,,,f emb_deep,embryo,
EB 7,Benthic,01/03/2022,iridophores in fin,Iridophores,11/03/2022,10,,,f emb_deep,embryo,
EL 1,Littoral,30/06/2021,iridophores in fin,Iridophores,10/07/2021,10,,,e emb_shallow,embryo,
EL 2,Littoral,30/06/2021,iridophores in fin,Iridophores,09/07/2021,9,,,e emb_shallow,embryo,
EL 3,Littoral,30/06/2021,iridophores in fin,Iridophores,10/07/2021,10,,,e emb_shallow,embryo,
EL 4,Littoral,30/06/2021,iridophores in fin,Iridophores,09/07/2021,9,,,e emb_shallow,embryo,
EL 5,Littoral,30/06/2021,iridophores in fin,Iridophores,10/07/2021,10,,,e emb_shallow,embryo,
EL 6,Littoral,30/06/2021,iridophores in fin,Iridophores,12/07/2021,,,,e emb_shallow,embryo,
EL 7,Littoral,30/06/2021,iridophores in fin,Iridophores,11/07/2021,,,,e emb_shallow,embryo,
EL 8,Littoral,30/06/2021,iridophores in fin,Iridophores,09/07/2021,9,,,e emb_shallow,embryo,
EL 9,Littoral,30/06/2021,iridophores in fin,Iridophores,,,,,e emb_shallow,embryo,
DA 1,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,first aggregates,Iridophore,12/07/2022,5,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,12/07/2022,5,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,associations at second,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,second aggregates ,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,associations at edge,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,first spot ring clear,None,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,second spot ring clear,None,,,F,Madingley,b socialised_deep,socialised,
DA 1,Benthic,07/07/2022,edge spot ring clear,None,,,F,Madingley,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores 4-5,Iridophore,17/07/2022,10,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,associations 3-5,Iridophore,01/08/2022,25,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,11/08/2022,35,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,16/09/2022,71,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,associations at second,Iridophore,28/09/2022,83,M,omb,b socialised_deep,socialised,
DA_2,Benthic,07/07/2022,second aggregates ,Iridophore,07/10/2022,92,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,16/09/2022,71,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,associations at edge,Iridophore,28/09/2022,83,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,edge aggregates,Iridophore,17/10/2022,102,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,first aggregation resolves,Iridophore,02/10/2022,87,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,second aggregation resolves,Iridophore,17/10/2022,102,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,first spot ring clear,None,25/11/2022,141,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,second spot ring clear,None,,,M,omb,b socialised_deep,socialised,
DA 2,Benthic,07/07/2022,edge spot ring clear,None,17/10/2022,102,M,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores in fin,Iridophore,12/07/2022,5,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores 4-5,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,associations at second,Iridophore,01/08/2022,25,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,second aggregates ,Iridophore,06/08/2022,30,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,associations at edge,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,edge aggregates,Iridophore,25/11/2022,141,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,second aggregation resolves,Iridophore,07/11/2022,123,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 3,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,first aggregates,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,26/08/2022,50,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,26/08/2022,50,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,associations at second,Iridophore,26/08/2022,50,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,second aggregates ,Iridophore,28/09/2022,83,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,associations at edge,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,second aggregation resolves,Iridophore,18/11/2022,134,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 4,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores 4-5,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,first aggregates,Iridophore,17/07/2022,10,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,associations at second,Iridophore,17/07/2022,10,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,second aggregates ,Iridophore,22/07/2022,15,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,16/09/2022,71,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,associations at edge,Iridophore,28/09/2022,83,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,edge aggregates,Iridophore,17/10/2022,102,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,first spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,second spot ring clear,None,31/08/2022,55,M,Madingley,b socialised_deep,socialised,
DA 5,Benthic,07/07/2022,edge spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores in fin,Iridophore,12/07/2022,5,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores 4-5,Iridophore,12/07/2022,5,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,associations at second,Iridophore,01/08/2022,25,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,second aggregates ,Iridophore,01/08/2022,25,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,associations at edge,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 6,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,associations 3-5,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,first aggregates,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,01/08/2022,25,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,01/08/2022,25,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,associations at second,Iridophore,11/08/2022,35,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,second aggregates ,Iridophore,21/08/2022,45,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,22/07/2022,15,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,associations at edge,Iridophore,11/08/2022,35,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,edge aggregates,Iridophore,16/08/2022,40,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,second aggregation resolves,Iridophore,16/09/2022,71,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,first spot ring clear,None,02/12/2022,148,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,second spot ring clear,None,,,M,Madingley,b socialised_deep,socialised,
DA 7,Benthic,07/07/2022,edge spot ring clear,None,25/11/2022,141,M,Madingley,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores in fin,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores 4-5,Iridophore,17/07/2022,10,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,associations 3-5,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,11/08/2022,35,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,11/08/2022,35,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,associations at second,Iridophore,21/08/2022,45,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,second aggregates ,Iridophore,26/08/2022,50,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,associations at edge,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,edge aggregates,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,first aggregation resolves,Iridophore,02/12/2022,148,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,second aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,edge aggregation resolves,Iridophore,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,first spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,second spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 8,Benthic,07/07/2022,edge spot ring clear,None,,,F,omb,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,xanthophores in fin,Xanthophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores in fin,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores 4-5,Iridophore,07/07/2022,0,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,associations 3-5,Iridophore,17/07/2022,10,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,first aggregates,Iridophore,22/07/2022,15,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores at next (temp) aggregation,Iridophore,12/07/2022,5,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores at second aggregation,Iridophore,06/08/2022,30,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,associations at second,Iridophore,26/08/2022,50,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,second aggregates ,Iridophore,02/10/2022,87,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,iridophores at edge aggregation ,Iridophore,22/07/2022,15,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,associations at edge,Iridophore,06/08/2022,30,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,edge aggregates,Iridophore,16/09/2022,71,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,first aggregation resolves,Iridophore,,,M,Madingley,b socialised_deep,socialised,
DA 9,Benthic,07/07/2022,second aggregation resolves,Iridophore,25/11/2022,141,M,Madingley,b socialised_deep,socialised,
