dpf,Date,Embryo,Melanophore_numbers ,Morph
10,2021-06-30,1,15,Littoral
10,2021-06-30,2,16,Littoral
10,2021-06-30,3,25,Littoral
10,2021-06-30,4,6,Littoral
10,2021-06-30,5,9,Littoral
10,2021-06-30,6,27,Littoral
10,2021-06-30,7,2,Littoral
10,2021-06-30,8,18,Littoral
10,2021-06-30,9,13,Littoral
11,2021-07-01,1,62,Littoral
11,2021-07-01,2,47,Littoral
11,2021-07-01,3,68,Littoral
11,2021-07-01,4,85,Littoral
11,2021-07-01,5,99,Littoral
11,2021-07-01,6,40,Littoral
11,2021-07-01,7,60,Littoral
11,2021-07-01,8,45,Littoral
11,2021-07-01,9,90,Littoral
12,2021-07-02,1,64,Littoral
12,2021-07-02,2,204,Littoral
12,2021-07-02,3,122,Littoral
12,2021-07-02,4,107,Littoral
12,2021-07-02,5,133,Littoral
12,2021-07-02,6,123,Littoral
12,2021-07-02,7,132,Littoral
12,2021-07-02,8,132,Littoral
12,2021-07-02,9,96,Littoral
13,2021-07-03,1,87,Littoral
13,2021-07-03,2,150,Littoral
13,2021-07-03,3,151,Littoral
13,2021-07-03,4,181,Littoral
13,2021-07-03,5,221,Littoral
13,2021-07-03,6,58,Littoral
13,2021-07-03,7,134,Littoral
13,2021-07-03,8,90,Littoral
13,2021-07-03,9,90,Littoral
14,2021-07-04,1,122,Littoral
14,2021-07-04,2,72,Littoral
14,2021-07-04,3,167,Littoral
14,2021-07-04,4,161,Littoral
14,2021-07-04,5,124,Littoral
14,2021-07-04,6,73,Littoral
14,2021-07-04,7,139,Littoral
14,2021-07-04,8,158,Littoral
14,2021-07-04,9,70,Littoral
15,2021-07-05,1,119,Littoral
15,2021-07-05,2,150,Littoral
15,2021-07-05,3,74,Littoral
15,2021-07-05,4,147,Littoral
15,2021-07-05,5,85,Littoral
15,2021-07-05,6,86,Littoral
15,2021-07-05,7,70,Littoral
15,2021-07-05,8,145,Littoral
15,2021-07-05,9,157,Littoral
16,2021-07-06,1,155,Littoral
16,2021-07-06,2,116,Littoral
16,2021-07-06,3,103,Littoral
16,2021-07-06,4,166,Littoral
16,2021-07-06,5,210,Littoral
16,2021-07-06,6,180,Littoral
16,2021-07-06,7,122,Littoral
16,2021-07-06,8,233,Littoral
16,2021-07-06,9,150,Littoral
17,2021-07-07,1,177,Littoral
17,2021-07-07,2,195,Littoral
17,2021-07-07,3,132,Littoral
17,2021-07-07,4,155,Littoral
17,2021-07-07,5,129,Littoral
17,2021-07-07,6,136,Littoral
17,2021-07-07,7,292,Littoral
17,2021-07-07,8,210,Littoral
17,2021-07-07,9,109,Littoral
18,2021-07-08,1,214,Littoral
18,2021-07-08,2,225,Littoral
18,2021-07-08,3,153,Littoral
18,2021-07-08,4,149,Littoral
18,2021-07-08,5,132,Littoral
18,2021-07-08,6,224,Littoral
18,2021-07-08,7,255,Littoral
18,2021-07-08,8,340,Littoral
18,2021-07-08,9,162,Littoral
19,2021-07-09,1,255,Littoral
19,2021-07-09,2,190,Littoral
19,2021-07-09,3,195,Littoral
19,2021-07-09,4,234,Littoral
19,2021-07-09,5,135,Littoral
19,2021-07-09,6,180,Littoral
19,2021-07-09,7,323,Littoral
19,2021-07-09,8,218,Littoral
19,2021-07-09,9,201,Littoral
20,2021-07-10,1,313,Littoral
20,2021-07-10,2,210,Littoral
20,2021-07-10,3,552,Littoral
20,2021-07-10,4,177,Littoral
20,2021-07-10,5,232,Littoral
20,2021-07-10,6,226,Littoral
20,2021-07-10,7,479,Littoral
20,2021-07-10,8,235,Littoral
21,2021-08-13,A1,347,Littoral
21,2021-08-13,A2,253,Littoral
21,2021-08-13,EA3,436,Littoral
21,2021-08-13,EA4,219,Littoral
21,2021-08-13,EA5,286,Littoral
21,2021-08-13,EA6,134,Littoral
21,2021-08-13,A7,163,Littoral
21,2021-08-13,A8,210,Littoral
24,2021-08-16,A1,316,Littoral
24,2021-08-16,A2,270,Littoral
24,2021-08-16,EA3,219,Littoral
24,2021-08-16,EA4,274,Littoral
24,2021-08-16,EA5,254,Littoral
24,2021-08-16,EA6,190,Littoral
24,2021-08-16,EA7,159,Littoral
24,2021-08-16,A8,247,Littoral
27,2021-08-19,A1,15,Littoral
27,2021-08-19,A2,24,Littoral
27,2021-08-19,EA3,74,Littoral
27,2021-08-19,EA4,66,Littoral
27,2021-08-19,EA5,105,Littoral
27,2021-08-19,EA6,54,Littoral
27,2021-08-19,A7,30,Littoral
27,2021-08-19,A8,140,Littoral
10,2022-03-01,1,3,Benthic
10,2022-03-01,2,4,Benthic
10,2022-03-01,3,3,Benthic
10,2022-03-01,4,2,Benthic
10,2022-03-01,5,3,Benthic
10,2022-03-01,6,6,Benthic
10,2022-03-01,7,11,Benthic
10,2022-03-01,8,0,Benthic
11,2022-03-02,1,7,Benthic
11,2022-03-02,2,16,Benthic
11,2022-03-02,3,27,Benthic
11,2022-03-02,4,12,Benthic
11,2022-03-02,5,21,Benthic
11,2022-03-02,6,25,Benthic
11,2022-03-02,7,25,Benthic
11,2022-03-02,8,7,Benthic
14,2022-03-05,1,80,Benthic
14,2022-03-05,2,135,Benthic
14,2022-03-05,3,94,Benthic
14,2022-03-05,4,109,Benthic
14,2022-03-05,5,80,Benthic
14,2022-03-05,6,58,Benthic
14,2022-03-05,7,128,Benthic
14,2022-03-05,8,109,Benthic
16,2022-03-07,1,156,Benthic
16,2022-03-07,2,200,Benthic
16,2022-03-07,3,148,Benthic
16,2022-03-07,4,211,Benthic
16,2022-03-07,5,90,Benthic
16,2022-03-07,6,154,Benthic
16,2022-03-07,7,198,Benthic
16,2022-03-07,8,176,Benthic
18,2022-03-09,1,380,Benthic
18,2022-03-09,2,430,Benthic
18,2022-03-09,3,530,Benthic
18,2022-03-09,4,431,Benthic
18,2022-03-09,5,260,Benthic
18,2022-03-09,6,315,Benthic
18,2022-03-09,7,424,Benthic
18,2022-03-09,8,315,Benthic
20,2022-03-11,1,493,Benthic
20,2022-03-11,2,419,Benthic
20,2022-03-11,3,568,Benthic
20,2022-03-11,4,351,Benthic
20,2022-03-11,5,145,Benthic
20,2022-03-11,6,430,Benthic
20,2022-03-11,7,501,Benthic
20,2022-03-11,8,307,Benthic
21,2022-03-12,1,411,Benthic
21,2022-03-12,2,579,Benthic
21,2022-03-12,3,602,Benthic
21,2022-03-12,4,502,Benthic
21,2022-03-12,5,285,Benthic
21,2022-03-12,6,382,Benthic
21,2022-03-12,7,563,Benthic
21,2022-03-12,8,490,Benthic
21,2021-10-20,1,393,Benthic
21,2021-10-20,2,392,Benthic
21,2021-10-20,3,560,Benthic
21,2021-10-20,4,403,Benthic
21,2021-10-20,5,443,Benthic
21,2021-10-20,6,395,Benthic
21,2021-10-20,7,522,Benthic
21,2021-10-20,8,521,Benthic
26,2021-10-25,1,213,Benthic
26,2021-10-25,2,218,Benthic
26,2021-10-25,3,293,Benthic
26,2021-10-25,4,315,Benthic
26,2021-10-25,5,123,Benthic
26,2021-10-25,6,283,Benthic
29,2021-10-28,1,118,Benthic
29,2021-10-28,2,84,Benthic
29,2021-10-28,3,97,Benthic
29,2021-10-28,4,91,Benthic
29,2021-10-28,5,62,Benthic
29,2021-10-28,6,123,Benthic
33,2021-11-01,1,44,Benthic
33,2021-11-01,2,25,Benthic
33,2021-11-01,3,35,Benthic
33,2021-11-01,4,40,Benthic
33,2021-11-01,5,44,Benthic
33,2021-11-01,6,94,Benthic
